feature_1,feature_2,feature_3,feature_4,feature_5,cluster
-3.398172,-4.061802,7.765557,9.409951,-1.546994,1
-10.344636,-12.430364,11.798145,0.547552,10.400162,1
-11.634722,6.777755,7.410627,-9.865317,-0.758347,2
-3.419053,-7.914858,-9.044882,-3.326363,0.832742,3
-2.806824,-7.192051,-0.482059,0.710329,-13.118543,0
-3.169472,-8.461160,-0.686306,0.791988,-0.054781,1
-0.143641,-2.016317,-4.345100,-2.912638,-7.247033,3
-0.180799,-6.900027,-11.456393,-3.422203,0.391951,3
5.180985,8.835156,12.463097,-11.125556,-2.770115,0
4.136565,9.996892,8.184898,1.524491,0.320959,0
-13.001601,-9.883444,3.070921,-0.880317,7.104344,1
-5.163541,6.567089,9.860683,5.382627,2.353909,0
-6.588249,8.628778,6.345639,3.356624,-2.743711,0
-3.129195,-3.299764,-0.070512,-7.857181,-3.011483,3
-0.612253,10.548551,9.137568,-2.423597,-4.255568,2
-4.494905,-8.454218,0.908562,7.003634,1.692669,1
-1.652356,8.436045,3.134360,-5.419440,-10.478848,0
2.050055,-8.642690,-5.271624,4.325473,-2.482653,3
-6.851986,12.142616,5.374074,-6.380489,-4.724103,2
-9.748610,-8.960101,18.034875,10.660016,6.343070,1
-2.712465,-18.807006,9.193806,8.160645,-1.886754,1
-13.161031,-4.660002,3.009051,7.620704,-0.645023,3
-4.747387,7.741655,3.587669,-11.178970,-10.490553,2
-10.466130,12.741471,7.139191,0.726141,-9.957663,2
-2.254405,-4.155598,-0.420624,-3.144465,1.727787,3
-0.042608,9.938467,0.348090,5.474719,-9.757816,0
3.287451,3.608969,7.719557,4.938676,-8.427359,0
-7.158129,1.661677,12.062308,-8.108841,-6.831682,2
-4.806002,4.765064,8.791558,-2.307249,-6.521796,0
-7.482015,-19.701675,11.560631,-0.654341,3.708785,1
-6.636684,7.407357,6.704536,-0.845453,-10.990729,0
-2.768350,-13.330906,-1.366467,0.825466,-3.249540,3
-9.523193,-5.906508,13.514938,2.128658,5.705617,1
-7.825785,6.546440,-2.454164,-4.402931,-15.924776,2
-1.962224,12.643119,7.044925,3.092590,-10.831999,0
-8.714232,-10.797119,2.711472,10.099179,2.549849,1
-4.694020,9.824788,2.607524,-9.905440,-3.750930,2
-6.718015,-1.785937,2.586157,-10.241158,1.144288,3
-0.932757,-14.976367,10.310523,5.528164,2.673634,1
-11.440851,2.370362,6.726944,-1.241832,-10.902282,2
-6.181752,-14.677073,4.877407,-9.168566,3.341682,3
-2.284727,-10.289700,8.660484,3.630789,0.820999,1
-11.260929,-5.335931,6.468943,3.112136,-11.039714,3
-6.146145,-0.777225,11.807719,0.679647,-0.294510,1
-7.458874,9.493936,3.441418,-3.313856,2.658240,2
-3.784084,16.534251,-8.614970,7.430704,-0.649201,0
-5.366932,-12.609707,7.002831,3.666112,5.768238,1
-8.281528,-3.124888,0.012010,-3.440934,-8.904147,3
-2.672671,-1.322924,4.194279,-4.549178,-3.531264,0
-13.609889,13.874974,3.490964,-4.487392,-2.261781,2
-3.969621,-9.970748,2.526327,0.161266,9.605195,1
-3.983652,-8.240426,2.458178,8.005158,3.368804,1
-3.113401,-6.932536,13.772287,5.388207,3.469172,1
-7.461879,6.182797,5.138136,-0.544209,-14.632944,0
0.410443,7.217826,7.593153,7.516688,-2.777216,0
-10.737251,-7.476259,6.428802,5.820577,-5.365969,3
-11.843259,-2.177347,0.928617,0.417245,-3.217530,3
-9.972295,-2.048412,2.057020,4.602576,-10.464758,3
-12.205678,-10.364451,4.275962,1.087444,4.444701,1
1.852406,9.930996,15.588894,-2.068322,-11.078236,0
1.678433,-15.697833,-0.744284,9.378152,3.114833,1
5.007794,13.401098,3.535058,2.107599,-5.837713,0
-10.693733,-12.684040,2.624007,6.169674,3.192321,1
-6.661052,-9.573338,12.142918,13.074915,1.373993,1
-11.060040,2.273359,8.356199,2.827497,-7.799544,0
-10.816798,8.683887,-1.415202,-1.286011,-6.642634,0
-1.294690,-10.189768,1.418681,3.328478,-4.112921,3
-8.954745,2.845858,2.615463,-1.163864,-11.354965,3
5.138554,8.224247,2.505473,-3.087352,-15.153911,0
-7.333815,12.444543,9.932001,-6.820528,-12.795920,0
-9.927457,6.333905,0.498543,2.549550,-8.129914,3
-6.982211,4.430192,-4.217661,6.712794,-5.785558,3
-5.671358,8.140503,3.661302,1.358632,2.330998,2
-11.876621,-11.362202,11.526623,4.755968,2.966791,1
-15.046814,7.462699,10.126542,-1.507707,-7.833335,2
